Date,Open,High,Low,Close,Adj Close,Volume
14-03-2017,176.179993,176.820007,175.210007,175.720001,168.834167,3147500
15-03-2017,175.710007,176.279999,174.75,175.809998,168.920654,3815500
16-03-2017,178.460007,179,176.820007,177.240005,170.294601,4311800
17-03-2017,176.289993,176.789993,175.649994,175.649994,168.766891,5921000
20-03-2017,175.649994,176.179993,175.139999,175.699997,168.814941,2476100
21-03-2017,176.009995,176.229996,173.839996,173.880005,167.066254,3927700
22-03-2017,174.039993,175.059998,172.800003,174.779999,167.930984,3450500
23-03-2017,174.429993,175.669998,173.559998,174.820007,167.969421,3740000
24-03-2017,175.119995,175.5,173.389999,173.830002,167.018219,3221700
27-03-2017,172.690002,174.160004,172.089996,173.770004,166.960571,3259000
28-03-2017,173.940002,175,173,174.509995,167.671585,3523900
29-03-2017,174.300003,174.490005,173.460007,173.940002,167.123901,3085600
30-03-2017,173.860001,174.589996,173.690002,173.860001,167.047058,3168300
31-03-2017,173.979996,174.949997,173.690002,174.139999,167.316086,2913700
03-04-2017,173.820007,174.869995,173.380005,174.5,167.661957,4286500
04-04-2017,173.520004,174.960007,173.259995,174.520004,167.681183,3108900
05-04-2017,174.699997,176.330002,172.809998,172.880005,166.105453,6238900
06-04-2017,173.470001,173.470001,172.25,172.449997,165.692307,3435400
07-04-2017,172.080002,172.929993,171.279999,172.139999,165.394455,3588300
10-04-2017,172.529999,172.559998,171,171.199997,164.491302,3789900
11-04-2017,170.649994,171.229996,168.979996,170.580002,163.895584,4891900
12-04-2017,171.039993,171.199997,170.020004,170.660004,163.972443,3276900
13-04-2017,169.919998,171.360001,169.529999,169.529999,162.886719,3205500
17-04-2017,169.75,171.300003,169.619995,171.100006,164.395218,3720200
18-04-2017,170.789993,171.690002,169.830002,170.050003,163.386368,6345500
19-04-2017,161.759995,162.639999,159.600006,161.690002,155.353958,19284300
20-04-2017,161.320007,162.399994,160.5,162.300003,155.940033,6486800
21-04-2017,162.050003,162.110001,160.380005,160.380005,154.095306,5607800
24-04-2017,161.289993,161.570007,160.419998,160.75,154.450775,5320600
25-04-2017,161.779999,162.039993,160.380005,160.389999,154.104889,4860400
26-04-2017,160.529999,161.100006,159.889999,160.059998,153.787811,4327800
27-04-2017,160.289993,160.479996,159.630005,160.320007,154.037643,4122600
28-04-2017,160.5,160.589996,159.699997,160.289993,154.00882,4154100
01-05-2017,160.050003,160.419998,158.699997,158.839996,152.615616,4935300
02-05-2017,159.440002,159.490005,158.639999,159.100006,152.865433,3208200
03-05-2017,158.740005,159.449997,158.520004,158.630005,152.413864,3993300
